Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Gu Wei,2.2,China,consumer electronics,1444,56,"Shenzhen, China",China,Married,2,,TRUE
Jeffrey Gundlach,2.2,United States,investments,1444,62,"Los Angeles, California",United States,Divorced,,"Bachelor of Arts/Science, Dartmouth College",TRUE
Guo Jiangang,2.2,China,household appliances,1444,54,"Foshan, China",China,,,,TRUE
Carlos Hank Rhon,2.2,Mexico,banking,1444,73,"Mexico City, Mexico",Mexico,Married,3,"Bachelor of Science in Engineering, Universidad Nacional Autonoma de Mexico",FALSE
Gerry Harvey,2.2,Australia,retail,1444,81,"Sydney, Australia",Australia,Married,4,,TRUE
Huang Guanlin,2.2,China,"textiles, apparel",1444,56,"Ningbo, China",China,,,"Bachelor of Engineering, Zhejiang University of Technology",TRUE
Huang Wei,2.2,China,real estate,1444,61,"Hangzhou, China",China,Married,,Wenzhou Normal College,TRUE
Hui Lin Chit,2.2,China,hygiene products,1444,67,"Jinjiang, China",China,Married,3,,TRUE
Randal J. Kirk,2.2,United States,pharmaceuticals,1444,67,"Manalapan, Florida",United States,Married,3,"Bachelor of Arts/Science, Radford; Doctor of Jurisprudence, University of Virginia",TRUE
Leo Koguan,2.2,United States,IT provider,1444,66,"Sugar Land, Texas",United States,Divorced,2,"Master, Columbia University; Law Degree, New York Law School",TRUE
Miguel Krigsner,2.2,Brazil,cosmetics,1444,71,"Sao Jose dos Pinhais, Brazil",Brazil,Married,2,,TRUE
Kwek Leng Kee,2.2,Singapore,diversified,1444,66,"Singapore, Singapore",Singapore,Married,,,FALSE
Thomas Kwok,2.2,Hong Kong,real estate,1444,69,"Hong Kong, Hong Kong",Hong Kong,Married,2,"Bachelor of Engineering, Imperial College London; Master of Business Administration, London Business School",FALSE
Lau Cho Kun,2.2,Malaysia,"palm oil, property",1444,85,"Tawau, Sabah, Malaysia",Malaysia,Married,1,,FALSE
Jeff Lawson,2.2,United States,software,1444,43,"San Francisco, California",United States,Married,2,"Bachelor of Arts/Science, University of Michigan",TRUE
Max Levchin,2.2,United States,fintech,1444,45,"San Francisco, California",United States,Married,2,"Bachelor of Science, University of Illinois Urbana Champaign",TRUE
Li Guoqing,2.2,China,Petro Fibre,1444,51,"Hangzhou, China",China,,,,TRUE
Li Shuirong,2.2,China,petrochemicals,1444,64,"Hangzhou, China",China,Married,1,,TRUE
Li Yongqing,2.2,China,Petro Firbe,1444,56,"Hangzhou, China",China,,,,TRUE
Liang Xinjun,2.2,China,conglomerate,1444,53,"Shanghai, China",China,Married,1,"Bachelor of Arts/Science, Fudan University; Bachelor of Arts/Science, Fudan University",TRUE
Lin Chang Su-O,2.2,Taiwan,real estate,1444,80,"Taipei, Taiwan",Taiwan,Widowed,4,,FALSE
Lin Fanlian,2.2,China,"energy, real estate",1444,59,"Linyi, China",China,,,,TRUE
Scott Lin,2.2,Taiwan,optical components,1444,88,"Taichung, Taiwan",Taiwan,Married,2,"Bachelor of Arts/Science, National Chung Hsing University",TRUE
Mao Zhongwu,2.2,China,manufacturing,1444,58,"Changsha, China",China,Married,,"Bachelor of Arts/Science, National University of Singapore",TRUE
